"Pos","Driver","Location","Region","Club","Starts","Wins","Avg Start","Avg Finish","Avg Pts per Race","Top 25%","Avg Field Size","Laps","Laps Lead","Avg Inc","Class","iRating","ttRating","Club Pts","Total Pts","CustId"
"","Rob Gray","AU","Region 1","Australia/NZ","1323","129","6","7","64","423","15","21952","2220","4.7","B 4.46","3008","1785","3767","84231","59619"
"1","Max Verstappen","NL","Region 5","Benelux","271","167","3","3","176","227","20","6091","2057","6","P 3.26","8702","1350","603","47689","168966"
"2","Thomas Jordan","AU","Region 1","Australia/NZ","1706","750","3","4","84","1094","15","27253","13247","4.27","A 3.75","6364","2498","11286","143645","123488"
"3","Shane van Gisbergen","AU","Region 1","Australia/NZ","427","206","4","4","113","284","15","9023","3200","7.19","A 4.99","5875","1384","2050","48378","34038"
"4","Riley Preston","AU","Region 1","Australia/NZ","575","146","4","8","117","352","22","12412","3634","5.74","B 4.59","5579","2645","5947","67110","129455"
"5","Lando Norris","GB","N/A","UK and I","1301","550","5","7","109","796","19","19235","7448","7.1","C 2.63","5579","1984","4933","141873","130979"
"6","Scott T McLaughlin","AU","Region 1","Australia/NZ","531","178","5","6","96","297","15","9598","3434","6.86","B 4.15","4370","1289","2849","51169","30869"
"7","Kobus Maree","AU","Region 1","Australia/NZ","1578","236","5","6","68","639","13","26858","4238","2.16","A 4.99","4113","2017","5160","107146","123925"
"8","Anton De Pasquale","AU","Region 1","Australia/NZ","371","169","3","6","68","202","14","5674","3725","5.71","B 2.69","3603","1327","1212","25158","83044"
"9","Rob Gray","AU","Region 1","Australia/NZ","1323","129","6","7","64","423","15","21952","2220","4.7","B 4.46","3008","1785","3767","84231","59619"
"10","Alexander Albon","GB","Region 3","UK and I","76","24","7","8","71","37","17","694","304","6.07","D 3.40","2666","1350","21","5421","382472"
"11","David Baildon","AU","Region 1","Australia/NZ","495","20","7","7","42","68","13","7140","252","4.19","A 4.77","2486","1716","789","20607","242561"
"12","Allan Jolley","AU","Region 1","Australia/NZ","1893","215","5","7","41","528","13","20781","3038","5.42","B 4.99","2331","1465","1399","78473","215470"
"13","Cameron Prior","AU","Region 1","Australia/NZ","96","13","7","6","45","18","12","1693","251","5.36","B 3.67","2101","1350","111","4322","328094"
"14","Brendan Young","AU","N/A","Australia/NZ","96","4","9","9","54","19","18","1568","61","4.11","A 3.74","2040","1377","186","5200","127715"
"15","James Golding","AU","Region 1","Australia/NZ","297","80","5","6","46","113","12","4123","1644","6.89","A 3.73","2002","1350","104","13715","84028"
"16","Chaz Mostert2","AU","Region 1","Australia/NZ","18","9","6","6","69","10","14","141","78","4.33","D 3.21","1969","1350","1","1239","449819"
"17","Nick Percat","AU","Region 1","Australia/NZ","334","81","5","7","55","137","13","4389","1623","6.4","D 2.78","1859","1330","464","18269","50804"
"18","James Jolley","AU","Region 1","Australia/NZ","339","15","6","7","43","58","13","4689","363","3.92","B 4.77","1717","1386","682","14447","228674"
"19","Ian Wells5","AU","Region 1","Australia/NZ","4","1","5","5","53","2","12","61","17","5.25","D 2.57","1444","1350","0","213","504144"
"20","Chris Radvan","AU","Region 1","Australia/NZ","30","0","9","7","44","4","15","473","13","5.6","B 2.88","1360","1260","42","1324","128230"
"21","Greg Illingworth","AU","N/A","Australia/NZ","116","3","8","9","40","19","18","1814","54","6.64","A 4.21","1293","1467","341","4682","127828"
"22","Steve Hoppitt","AU","Region 1","Australia/NZ","8","0","7","7","23","0","9","115","0","3.63","D 3.72","1289","1097","3","181","37497"
"23","Jonathan Tan2","AU","Region 1","Australia/NZ","29","0","12","11","40","3","18","612","0","2.97","B 4.99","1229","1271","75","1156","313556"
"24","John E Pickett","AU","Region 1","Australia/NZ","25","1","6","7","35","3","12","358","15","4.76","D 3.57","1216","1350","0","886","498473"
"25","Tai Tran","AU","Region 1","Australia/NZ","625","10","10","9","31","82","16","8384","102","8.3","C 1.78","957","1249","1052","19617","181261"
"26","Leanne Brown","AU","Region 1","Australia/NZ","12","1","5","7","19","1","11","63","16","11.42","R 1.62","----","----","0","230","192908"
